t=2025-12-19T11:46:15-0500 lvl=info msg="no configuration paths supplied"
t=2025-12-19T11:46:15-0500 lvl=info msg="using configuration at default config path" path="/Users/fibonacci/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-19T11:46:15-0500 lvl=info msg="open config file" path="/Users/fibonacci/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-19T11:46:15-0500 lvl=info msg="FIPS 140 mode" enabled=false
t=2025-12-19T11:46:15-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-19T11:46:15-0500 lvl=info msg="client session established" obj=tunnels.session
t=2025-12-19T11:46:15-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-12-19T11:46:15-0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5173 url=https://topographical-tiana-flagless.ngrok-free.dev
t=2025-12-19T11:46:35-0500 lvl=info msg="join connections" obj=join id=6f1f6b83fb2e l=[::1]:5173 r=147.9.2.204:24142
t=2025-12-19T11:47:19-0500 lvl=info msg="join connections" obj=join id=d63461eceb63 l=[::1]:5173 r=147.9.2.204:21419
t=2025-12-19T11:47:19-0500 lvl=info msg="join connections" obj=join id=524ef380ed75 l=[::1]:5173 r=147.9.2.204:21419
t=2025-12-19T11:47:19-0500 lvl=info msg="join connections" obj=join id=2e80b7da0057 l=[::1]:5173 r=147.9.2.204:21419
t=2025-12-19T11:47:19-0500 lvl=info msg="join connections" obj=join id=6c6366ba4630 l=[::1]:5173 r=147.9.2.204:21419
t=2025-12-19T11:47:19-0500 lvl=info msg="join connections" obj=join id=6a8d71c52d57 l=[::1]:5173 r=147.9.2.204:21419
t=2025-12-19T11:47:19-0500 lvl=info msg="join connections" obj=join id=3be3edea2214 l=[::1]:5173 r=147.9.2.204:21419
t=2025-12-19T11:47:19-0500 lvl=info msg="join connections" obj=join id=53fc2cf0cf46 l=[::1]:5173 r=147.9.2.204:21419
t=2025-12-19T11:47:19-0500 lvl=info msg="join connections" obj=join id=a4f45c57ec9a l=[::1]:5173 r=147.9.2.204:21419
t=2025-12-19T11:47:19-0500 lvl=info msg="join connections" obj=join id=92ac6223b90f l=[::1]:5173 r=147.9.2.204:10260
t=2025-12-19T11:47:22-0500 lvl=info msg="join connections" obj=join id=0786f6de312d l=[::1]:5173 r=147.9.2.204:53295
t=2025-12-19T11:47:22-0500 lvl=info msg="join connections" obj=join id=b44eedab1323 l=[::1]:5173 r=147.9.2.204:53295
t=2025-12-19T11:47:22-0500 lvl=info msg="join connections" obj=join id=a7bf98fbaadb l=[::1]:5173 r=147.9.2.204:53295
t=2025-12-19T11:47:22-0500 lvl=info msg="join connections" obj=join id=68ff846315d6 l=[::1]:5173 r=147.9.2.204:53295
t=2025-12-19T11:47:22-0500 lvl=info msg="join connections" obj=join id=b26cc9349b21 l=[::1]:5173 r=147.9.2.204:53295
t=2025-12-19T11:47:23-0500 lvl=info msg="join connections" obj=join id=d6a34581ed19 l=[::1]:5173 r=147.9.2.204:53295
t=2025-12-19T11:47:23-0500 lvl=info msg="join connections" obj=join id=06f53423ef06 l=[::1]:5173 r=147.9.2.204:36040
t=2025-12-19T11:47:23-0500 lvl=info msg="join connections" obj=join id=fb4c3053df06 l=[::1]:5173 r=147.9.2.204:53295
t=2025-12-19T11:47:42-0500 lvl=info msg="join connections" obj=join id=4647143135ba l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:48190
t=2025-12-19T11:47:47-0500 lvl=info msg="join connections" obj=join id=241c30f9ec71 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
t=2025-12-19T11:47:47-0500 lvl=info msg="join connections" obj=join id=63a554452c19 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
t=2025-12-19T11:47:47-0500 lvl=info msg="join connections" obj=join id=11ec1c9dc252 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
t=2025-12-19T11:47:48-0500 lvl=info msg="join connections" obj=join id=245d9261f1c0 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
t=2025-12-19T11:47:48-0500 lvl=info msg="join connections" obj=join id=9c533d6a2ae4 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
t=2025-12-19T11:47:48-0500 lvl=info msg="join connections" obj=join id=f4083ef2f86e l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
t=2025-12-19T11:47:48-0500 lvl=info msg="join connections" obj=join id=1f430e09354d l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
t=2025-12-19T11:47:48-0500 lvl=info msg="join connections" obj=join id=f317eb939b55 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
t=2025-12-19T11:47:48-0500 lvl=info msg="join connections" obj=join id=d770ed1f6bc0 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
t=2025-12-19T11:47:48-0500 lvl=info msg="join connections" obj=join id=7050eb35d782 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:35898
t=2025-12-19T11:48:38-0500 lvl=info msg="join connections" obj=join id=e4f144566db2 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
t=2025-12-19T11:48:38-0500 lvl=info msg="join connections" obj=join id=c55fe39fbf73 l=[::1]:5173 r=147.9.2.204:24141
t=2025-12-19T11:49:10-0500 lvl=info msg="join connections" obj=join id=2bead65d9b1a l=[::1]:5173 r=147.9.2.204:56234
t=2025-12-19T11:49:10-0500 lvl=info msg="join connections" obj=join id=4707418b9e87 l=[::1]:5173 r=147.9.2.204:56234
t=2025-12-19T11:49:10-0500 lvl=info msg="join connections" obj=join id=856122dca210 l=[::1]:5173 r=147.9.2.204:56234
t=2025-12-19T11:49:10-0500 lvl=info msg="join connections" obj=join id=6c5c1d6ad021 l=[::1]:5173 r=147.9.2.204:56234
t=2025-12-19T11:49:10-0500 lvl=info msg="join connections" obj=join id=c39b05f28bf7 l=[::1]:5173 r=147.9.2.204:43452
t=2025-12-19T11:49:19-0500 lvl=info msg="join connections" obj=join id=f624c57bd86d l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:52082
